datetime,location_id,parameter_id,parameter_value
2011-01-25,sha,15,3461954
2011-01-26,sha,15,3466448
2011-01-27,sha,15,3469194
2011-01-28,sha,15,3474935
2011-01-29,sha,15,3479179
2011-01-30,sha,15,3485431
2011-01-31,sha,15,3490198
2011-02-01,sha,15,3494966
2011-02-02,sha,15,3499231
2011-02-03,sha,15,3503748
2011-02-04,sha,15,3506006
2011-02-05,sha,15,3505755
2011-02-06,sha,15,3508768
2011-02-07,sha,15,3512046
2011-02-08,sha,15,3514063
2011-02-09,sha,15,3516080
2011-02-10,sha,15,3518350
2011-02-11,sha,15,3520367
2011-02-12,sha,15,3523645
2011-02-13,sha,15,3527427
2011-02-14,sha,15,3536772
2011-02-15,sha,15,3566458
2011-02-16,sha,15,3605780
2011-02-17,sha,15,3635082
2011-02-18,sha,15,3657565
2011-02-19,sha,15,3679623
2011-02-20,sha,15,3693418
2011-02-21,sha,15,3707775
2011-02-22,sha,15,3719549
2011-02-23,sha,15,3732138
2011-02-24,sha,15,3745015
2011-02-25,sha,15,3757666
2011-02-26,sha,15,3768484
2011-02-27,sha,15,3776166
2011-02-28,sha,15,3784113
2011-03-01,sha,15,3791266
2011-03-02,sha,15,3821720
2011-03-03,sha,15,3853948
2011-03-04,sha,15,3879373
2011-03-05,sha,15,3904105
2011-03-06,sha,15,3929757
2011-03-07,sha,15,3952805
2011-03-08,sha,15,3977597
2011-03-09,sha,15,3998114
2011-03-10,sha,15,4021171
2011-03-11,sha,15,4045422
2011-03-12,sha,15,4070605
2011-03-13,sha,15,4094780
2011-03-14,sha,15,4127182
2011-03-15,sha,15,4148773
2011-03-16,sha,15,4185429
2011-03-17,sha,15,4194200
2011-03-18,sha,15,4205244
2011-03-19,sha,15,4210646
2011-03-20,sha,15,4221164
2011-03-21,sha,15,4197595
2011-03-22,sha,15,4155531
2011-03-23,sha,15,4132507
2011-03-24,sha,15,4168766
2011-03-25,sha,15,4195049
2011-03-26,sha,15,4210077
2011-03-27,sha,15,4204391
2011-03-28,sha,15,4177224
2011-03-29,sha,15,4130545
2011-03-30,sha,15,4080878
2011-03-31,sha,15,4032173
2011-04-01,sha,15,3987985
2011-04-02,sha,15,3957434
2011-04-03,sha,15,3932740
2011-04-04,sha,15,3914899
2011-04-05,sha,15,3902216
2011-04-06,sha,15,3895488
2011-04-07,sha,15,3890922
2011-04-08,sha,15,3893339
2011-04-09,sha,15,3894951
2011-04-10,sha,15,3898979
2011-04-11,sha,15,3906264
2011-04-12,sha,15,3914089
2011-04-13,sha,15,3924883
2011-04-14,sha,15,3935180
2011-04-15,sha,15,3950093
2011-04-16,sha,15,3962066
