datetime,dist_meters,location_id,location_name,sim_start_time,scenario_name,model_type,temp_50
2019-08-28,57403,bsf,ballsferry,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,54.733707
2019-08-29,57403,bsf,ballsferry,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,54.627163
2019-08-30,57403,bsf,ballsferry,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,54.954388
2019-08-31,57403,bsf,ballsferry,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,55.23828
2019-09-01,57403,bsf,ballsferry,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,55.381294
2019-09-02,57403,bsf,ballsferry,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,55.537586
2019-09-03,57403,bsf,ballsferry,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,55.62543
2019-09-04,57403,bsf,ballsferry,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,55.491657
2019-09-05,57403,bsf,ballsferry,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,55.39162
2019-09-06,57403,bsf,ballsferry,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,55.270405
2019-09-07,57403,bsf,ballsferry,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,55.47989
2019-09-08,57403,bsf,ballsferry,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,55.60981
2019-09-09,57403,bsf,ballsferry,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,55.611553
2019-09-10,57403,bsf,ballsferry,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,55.621918
2019-09-11,57403,bsf,ballsferry,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,55.64822
2019-09-12,57403,bsf,ballsferry,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,55.299778
2019-09-13,57403,bsf,ballsferry,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,55.264065
2019-09-14,57403,bsf,ballsferry,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,55.21059
2019-09-15,57403,bsf,ballsferry,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,55.010956
2019-09-16,57403,bsf,ballsferry,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,54.632214
2019-09-17,57403,bsf,ballsferry,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,54.77423
2019-09-18,57403,bsf,ballsferry,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,54.85523
2019-09-19,57403,bsf,ballsferry,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,55.076378
