draft_date,actual_upstream,actual_downstream
9/1/2011,2623,161
9/2/2011,2404,146
9/3/2011,2305,143
9/4/2011,2159,131
9/5/2011,2069,120
9/6/2011,2002,146
9/7/2011,1858,149
9/8/2011,1686,146
9/9/2011,1714,219
9/10/2011,1610,230
9/11/2011,1539,217
9/12/2011,1461,191
9/13/2011,1344,154
9/14/2011,1205,249
9/15/2011,1056,143
9/16/2011,1067,136
9/17/2011,1009,151
9/18/2011,913,136
9/19/2011,868,121
9/20/2011,832,127
9/21/2011,824,84
9/22/2011,780,73
9/23/2011,765,32
9/24/2011,772,60
9/25/2011,774,64
9/26/2011,758,56
9/27/2011,777,22
9/28/2011,736,30
9/29/2011,704,31
9/30/2011,707,16
10/1/2011,760,17
10/2/2011,740,15
10/3/2011,740,14
10/4/2011,742,15
10/5/2011,677,17
10/6/2011,579,5
10/7/2011,453,0
10/8/2011,455,4
10/9/2011,454,4
10/10/2011,445,2
10/11/2011,426,0
10/12/2011,429,0
10/13/2011,456,0
10/14/2011,456,0
10/15/2011,448,0
10/16/2011,487,0
10/17/2011,532,0
10/18/2011,560,0
10/19/2011,629,0
10/20/2011,690,2
10/21/2011,754,2
10/22/2011,791,2
10/23/2011,842,2
10/24/2011,878,2
10/25/2011,965,5
10/26/2011,1040,9
10/27/2011,1090,6
10/28/2011,1173,4
10/29/2011,1179,3
10/30/2011,1202,3
10/31/2011,1229,3
11/1/2011,1241,1
11/2/2011,1371,5
11/3/2011,1479,4
11/4/2011,1499,0
11/5/2011,1546,0
11/6/2011,1616,0
11/7/2011,1569,0
11/8/2011,1590,0
11/9/2011,1706,13
11/10/2011,1928,21
11/11/2011,1807,29
11/12/2011,1672,27
11/13/2011,1635,23
11/14/2011,1589,34
11/15/2011,1425,43
11/16/2011,1382,43
11/17/2011,1481,50
11/18/2011,1556,48
11/19/2011,1450,44
11/20/2011,1424,39
11/21/2011,1400,37
11/22/2011,1338,30
11/23/2011,1239,18
11/24/2011,1117,11
11/25/2011,1118,10
11/26/2011,1085,18
11/27/2011,1116,6
11/28/2011,1061,10
11/29/2011,914,12
11/30/2011,1002,8
12/1/2011,880,5
12/2/2011,874,4
12/3/2011,836,4
12/4/2011,868,4
12/5/2011,890,4
12/6/2011,930,8
12/7/2011,980,14
12/8/2011,972,15
12/9/2011,1032,20
12/10/2011,1047,21
12/11/2011,1066,21
12/12/2011,1050,23
12/13/2011,1043,24
12/14/2011,971,23
12/15/2011,972,18
12/16/2011,931,11
12/17/2011,833,5
12/18/2011,858,0
12/19/2011,859,0
12/20/2011,858,0
12/21/2011,859,0
12/22/2011,856,0
12/23/2011,855,0
12/24/2011,856,0
12/25/2011,856,0
12/26/2011,858,0
12/27/2011,902,0
12/28/2011,902,0
12/29/2011,888,0
12/30/2011,921,0
12/31/2011,937,0
1/1/2012,936,0
1/2/2012,947,0
1/3/2012,997,0
1/4/2012,1034,21
1/5/2012,1045,28
1/6/2012,1045,27
1/7/2012,809,28
1/8/2012,95,24
1/9/2012,24,28
1/10/2012,191,27
1/11/2012,68,23
1/12/2012,36,24
1/13/2012,17,30
1/14/2012,39,32
1/15/2012,39,32
1/16/2012,39,24
1/17/2012,39,20
1/18/2012,38,18
1/19/2012,49,15
1/20/2012,25,10
1/21/2012,25,0
1/22/2012,0,0
1/23/2012,0,0
1/24/2012,0,0
1/25/2012,0,0
1/26/2012,0,0
1/27/2012,0,0
1/28/2012,0,0
1/29/2012,0,0
1/30/2012,0,0
1/31/2012,0,0
2/1/2012,0,0
2/2/2012,0,0
2/3/2012,33,0
2/4/2012,31,0
2/5/2012,18,0
2/6/2012,12,0
2/7/2012,15,0
2/8/2012,32,0
2/9/2012,58,0
2/10/2012,74,0
2/11/2012,84,0
2/12/2012,87,0
2/13/2012,90,0
2/14/2012,89,0
2/15/2012,81,0
2/16/2012,76,0
2/17/2012,76,0
2/18/2012,77,0
2/19/2012,86,0
2/20/2012,81,0
2/21/2012,89,0
2/22/2012,121,0
2/23/2012,192,0
2/24/2012,190,0
2/25/2012,190,0
2/26/2012,178,0
2/27/2012,50,0
2/28/2012,168,2
2/29/2012,168,2
3/1/2012,183,1
3/2/2012,175,0
3/3/2012,169,1
3/4/2012,164,9
3/5/2012,210,8
3/6/2012,358,17
3/7/2012,426,41
3/8/2012,292,66
3/9/2012,246,80
3/10/2012,241,71
3/11/2012,230,52
3/12/2012,230,47
3/13/2012,148,32
3/14/2012,141,7
3/15/2012,103,0
3/16/2012,79,0
3/17/2012,102,0
3/18/2012,72,0
3/19/2012,82,0
3/20/2012,179,0
3/21/2012,237,5
3/22/2012,183,8
3/23/2012,152,14
3/24/2012,178,14
3/25/2012,168,13
3/26/2012,146,18
3/27/2012,123,7
3/28/2012,154,1
3/29/2012,103,0
3/30/2012,106,0
3/31/2012,151,0
4/1/2012,140,0
4/2/2012,107,3
4/3/2012,140,0
4/4/2012,170,0
4/5/2012,151,0
4/6/2012,172,0
4/7/2012,148,0
4/8/2012,145,0
4/9/2012,140,5
4/10/2012,144,3
4/11/2012,131,2
4/12/2012,131,0
4/13/2012,117,0
4/14/2012,135,0
4/15/2012,139,73
4/16/2012,128,135
4/17/2012,128,113
4/18/2012,140,90
4/19/2012,259,90
4/20/2012,295,106
4/21/2012,295,114
4/22/2012,415,114
4/23/2012,394,69
4/24/2012,513,83
4/25/2012,656,109
4/26/2012,698,111
4/27/2012,761,44
4/28/2012,861,55
4/29/2012,1036,69
4/30/2012,1252,67
5/1/2012,1766,115
5/2/2012,2072,124
5/3/2012,2440,116
5/4/2012,2805,154
5/5/2012,3255,180
5/6/2012,3410,214
5/7/2012,4287,345
5/8/2012,4177,511
5/9/2012,4350,379
5/10/2012,4355,436
5/11/2012,4416,367
5/12/2012,4523,252
5/13/2012,4487,240
5/14/2012,4506,315
5/15/2012,4421,304
5/16/2012,4370,401
5/17/2012,4419,423
5/18/2012,4415,405
5/19/2012,4382,459
5/20/2012,4281,462
5/21/2012,4147,499
5/22/2012,4089,410
5/23/2012,3909,418
5/24/2012,3776,449
5/25/2012,3768,349
5/26/2012,3771,428
5/27/2012,3726,371
5/28/2012,3566,356
5/29/2012,3543,410
5/30/2012,3571,402
5/31/2012,3592,473
6/1/2012,3511,474
6/2/2012,3435,417
6/3/2012,3580,416
6/4/2012,3633,452
6/5/2012,3492,276
6/6/2012,3393,386
6/7/2012,3369,350
6/8/2012,3363,422
6/9/2012,3367,344
6/10/2012,3441,376
6/11/2012,3541,371
6/12/2012,3860,392
6/13/2012,4170,418
6/14/2012,4220,423
6/15/2012,4438,433
6/16/2012,4179,446
6/17/2012,4141,402
6/18/2012,4340,379
6/19/2012,4357,389
6/20/2012,4278,466
6/21/2012,4379,447
6/22/2012,4470,478
6/23/2012,4408,547
6/24/2012,3947,527
6/25/2012,4168,624
6/26/2012,3963,439
6/27/2012,4266,445
6/28/2012,4268,413
6/29/2012,4193,432
6/30/2012,4584,442
7/1/2012,4000,405
7/2/2012,4021,399
7/3/2012,4058,449
